name,symbol,description,parcellation_term_set_label,parcellation_terminology_label,parcellation_term_identifier,parcellation_term_order,parcellation_parent_term_set_label,parcellation_parent_term_identifier
layer I of caudal presubiculum,PrSc1,layer I of caudal presubiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11352,1560,ADHBA_Terminology_2016_All,DHBA:11350
superficial layers of caudal presubiculum,PrScs,superficial layers of caudal presubiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11351,1561,ADHBA_Terminology_2016_All,DHBA:11350
layer II of caudal presubiculum,PrSc2,layer II of caudal presubiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11353,1562,ADHBA_Terminology_2016_All,DHBA:11351
layer III of caudal presubiculum,PrSc3,layer III of caudal presubiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11354,1563,ADHBA_Terminology_2016_All,DHBA:11351
lamina dissecans of caudal presubiculum,PrScld,lamina dissecans of caudal presubiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11355,1564,ADHBA_Terminology_2016_All,DHBA:11350
deep layers of caudal presubiculum,PrScd,deep layers of caudal presubiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11356,1565,ADHBA_Terminology_2016_All,DHBA:11350
layer V of caudal presubiculum,PrSc5,layer V of caudal presubiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11357,1566,ADHBA_Terminology_2016_All,DHBA:11356
layer VI of caudal presubiculum,PrSc6,layer VI of caudal presubiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11358,1567,ADHBA_Terminology_2016_All,DHBA:11356
retrosplenial cortex,RSC,retrosplenial cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10324,1568,ADHBA_Terminology_2016_All,DHBA:10314
area 29 of retrosplenial cortex,A29,area 29 of retrosplenial cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10325,1569,ADHBA_Terminology_2016_All,DHBA:10324
layer I of area 29,A29-1,layer I of area 29,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11476,1570,ADHBA_Terminology_2016_All,DHBA:10325
layer II of area 29,A29-2,layer II of area 29,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11477,1571,ADHBA_Terminology_2016_All,DHBA:10325
layer III of area 29,A29-3,layer III of area 29,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11478,1572,ADHBA_Terminology_2016_All,DHBA:10325
layers V/VI of area 29,A29-5-6,layers V/VI of area 29,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13024,1573,ADHBA_Terminology_2016_All,DHBA:10325
area 30 of retrosplenial cortex,A30,area 30 of retrosplenial cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10326,1574,ADHBA_Terminology_2016_All,DHBA:10324
layer I of area 30,A30-1,layer I of area 30,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11481,1575,ADHBA_Terminology_2016_All,DHBA:10326
layer II of area 30,A30-2,layer II of area 30,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11482,1576,ADHBA_Terminology_2016_All,DHBA:10326
layer III of area 30,A30-3,layer III of area 30,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11483,1577,ADHBA_Terminology_2016_All,DHBA:10326
layer V of area 30,A30-5,layer V of area 30,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11484,1578,ADHBA_Terminology_2016_All,DHBA:10326
layer VI of area 30,A30-6,layer VI of area 30,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11485,1579,ADHBA_Terminology_2016_All,DHBA:10326
peripaleocortex,PPCx,peripaleocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10327,1580,ADHBA_Terminology_2016_All,DHBA:10313
agranular insular cortex (area Iag),Iag,agranular insular cortex (area Iag),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10328,1581,ADHBA_Terminology_2016_All,DHBA:10327
layer I of area Iag,Iag1,layer I of area Iag,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11486,1582,ADHBA_Terminology_2016_All,DHBA:10328
layer II of area Iag,Iag2,layer II of area Iag,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11487,1583,ADHBA_Terminology_2016_All,DHBA:10328
layer III of area Iag,Iag3,layer III of area Iag,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11488,1584,ADHBA_Terminology_2016_All,DHBA:10328
layer V of area Iag,Iag5,layer V of area Iag,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11489,1585,ADHBA_Terminology_2016_All,DHBA:10328
layer VI of area Iag,Iag6,layer VI of area Iag,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11490,1586,ADHBA_Terminology_2016_All,DHBA:10328
frontal agranular insular cortex (area FI),FI,frontal agranular insular cortex (area FI),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10329,1587,ADHBA_Terminology_2016_All,DHBA:10327
layer I of area FI,FI1,layer I of area FI,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11491,1588,ADHBA_Terminology_2016_All,DHBA:10329
layer II of area FI,FI2,layer II of area FI,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11492,1589,ADHBA_Terminology_2016_All,DHBA:10329
layer III of area FI,FI3,layer III of area FI,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11493,1590,ADHBA_Terminology_2016_All,DHBA:10329
layer V of area FI,FI5,layer V of area FI,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11494,1591,ADHBA_Terminology_2016_All,DHBA:10329
layer VI of area FI,FI6,layer VI of area FI,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11495,1592,ADHBA_Terminology_2016_All,DHBA:10329
temporal agranular insular cortex (area TI),TI,temporal agranular insular cortex (area TI),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10330,1593,ADHBA_Terminology_2016_All,DHBA:10327
layer I of area TI,TI1,layer I of area TI,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11496,1594,ADHBA_Terminology_2016_All,DHBA:10330
layer II of area TI,TI2,layer II of area TI,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11497,1595,ADHBA_Terminology_2016_All,DHBA:10330
layer III of area TI,TI3,layer III of area TI,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11498,1596,ADHBA_Terminology_2016_All,DHBA:10330
layer V of area TI,TI5,layer V of area TI,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11499,1597,ADHBA_Terminology_2016_All,DHBA:10330
layer VI of area TI,TI6,layer VI of area TI,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11500,1598,ADHBA_Terminology_2016_All,DHBA:10330
allocortex,ACx,allocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10292,1599,ADHBA_Terminology_2016_All,DHBA:10159
archicortex,ArCx,archicortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10293,1600,ADHBA_Terminology_2016_All,DHBA:10292
hippocampus (hippocampal formation),HIP,hippocampus (hippocampal formation),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10294,1601,ADHBA_Terminology_2016_All,DHBA:10293
dentate area (dentate gyrus),DG,dentate area (dentate gyrus),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10295,1602,ADHBA_Terminology_2016_All,DHBA:10294
uncal dentate gyrus,DGU,uncal dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441247,1603,ADHBA_Terminology_2016_All,DHBA:10295
molecular layer of uncal dentate gyrus,DGUmo,molecular layer of uncal dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441251,1604,ADHBA_Terminology_2016_All,DHBA:266441247
granular layer of uncal dentate gyrus,DGUgr,granular layer of uncal dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441255,1605,ADHBA_Terminology_2016_All,DHBA:266441247
subgranular zone of uncal dentate gyrus,DGUsg,subgranular zone of uncal dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441259,1606,ADHBA_Terminology_2016_All,DHBA:266441247
polyform layer of uncal dentate gyrus,DGUpf,polyform layer of uncal dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441263,1607,ADHBA_Terminology_2016_All,DHBA:266441247
rostral dentate gyrus,DGR,rostral dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11265,1608,ADHBA_Terminology_2016_All,DHBA:10295
molecular layer of rostral dentate gyrus,DGRmo,molecular layer of rostral dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11266,1609,ADHBA_Terminology_2016_All,DHBA:11265
granular layer of rostral dentate gyrus,DGRgr,granular layer of rostral dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11267,1610,ADHBA_Terminology_2016_All,DHBA:11265
subgranular zone of rostral dentate gyrus,DGRsg,subgranular zone of rostral dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11268,1611,ADHBA_Terminology_2016_All,DHBA:11265
polyform layer of rostral dentate gyrus,DGRpf,polyform layer of rostral dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11269,1612,ADHBA_Terminology_2016_All,DHBA:11265
caudal dentate gyrus,DGC,caudal dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11270,1613,ADHBA_Terminology_2016_All,DHBA:10295
molecular layer of caudal dentate gyrus,DGCmo,molecular layer of caudal dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11271,1614,ADHBA_Terminology_2016_All,DHBA:11270
granular layer of caudal dentate gyrus,DGCgr,granular layer of caudal dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11272,1615,ADHBA_Terminology_2016_All,DHBA:11270
subgranular zone of caudal dentate gyrus,DGCsg,subgranular zone of caudal dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11273,1616,ADHBA_Terminology_2016_All,DHBA:11270
polyform layer of caudal dentate gyrus,DGCpf,polyform layer of caudal dentate gyrus,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11274,1617,ADHBA_Terminology_2016_All,DHBA:11270
hippocampal proper,Hipp,hippocampal proper,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10296,1618,ADHBA_Terminology_2016_All,DHBA:10294
CA1 region of Hipp,CA1,CA1 region of Hipp,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10297,1619,ADHBA_Terminology_2016_All,DHBA:10296
uncal CA1,CA1U,uncal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441267,1620,ADHBA_Terminology_2016_All,DHBA:10297
stratum lacunosum-moleculare of uncal CA1,CA1Uslm,stratum lacunosum-moleculare of uncal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441271,1621,ADHBA_Terminology_2016_All,DHBA:266441267
stratum moleculare of uncal CA1,CA1Usmo,stratum moleculare of uncal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441275,1622,ADHBA_Terminology_2016_All,DHBA:266441271
stratum lacunosum of uncal CA1,CA1Usla,stratum lacunosum of uncal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441279,1623,ADHBA_Terminology_2016_All,DHBA:266441271
stratum radiatum of uncal CA1,CA1Usr,stratum radiatum of uncal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441283,1624,ADHBA_Terminology_2016_All,DHBA:266441267
stratum pyramidale of uncal CA1,CA1Usp,stratum pyramidale of uncal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441287,1625,ADHBA_Terminology_2016_All,DHBA:266441267
stratum oriens of uncal CA1,CA1Uso,stratum oriens of uncal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441291,1626,ADHBA_Terminology_2016_All,DHBA:266441267
rostral CA1,CA1R,rostral CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11275,1627,ADHBA_Terminology_2016_All,DHBA:10297
stratum lacunosum-moleculare of rostral CA1,CA1Rslm,stratum lacunosum-moleculare of rostral CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11276,1628,ADHBA_Terminology_2016_All,DHBA:11275
stratum moleculare of rostral CA1,CA1Rsmo,stratum moleculare of rostral CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441295,1629,ADHBA_Terminology_2016_All,DHBA:11276
stratum lacunosum of rostral CA1,CA1Rsla,stratum lacunosum of rostral CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441299,1630,ADHBA_Terminology_2016_All,DHBA:11276
stratum radiatum of rostral CA1,CA1Rsr,stratum radiatum of rostral CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11277,1631,ADHBA_Terminology_2016_All,DHBA:11275
stratum pyramidale of rostral CA1,CA1Rsp,stratum pyramidale of rostral CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11278,1632,ADHBA_Terminology_2016_All,DHBA:11275
stratum oriens of rostral CA1,CA1Rso,stratum oriens of rostral CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11279,1633,ADHBA_Terminology_2016_All,DHBA:11275
caudal CA1,CA1C,caudal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11280,1634,ADHBA_Terminology_2016_All,DHBA:10297
stratum lacunosum-moleculare of caudal CA1,CA1Cslm,stratum lacunosum-moleculare of caudal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11281,1635,ADHBA_Terminology_2016_All,DHBA:11280
stratum moleculare of caudal CA1,CA1Csmo,stratum moleculare of caudal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441303,1636,ADHBA_Terminology_2016_All,DHBA:11281
stratum lacunosum of caudal CA1,CA1Csla,stratum lacunosum of caudal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441307,1637,ADHBA_Terminology_2016_All,DHBA:11281
stratum radiatum of caudal CA1,CA1Csr,stratum radiatum of caudal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11282,1638,ADHBA_Terminology_2016_All,DHBA:11280
stratum pyramidale of caudal CA1,CA1Csp,stratum pyramidale of caudal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11283,1639,ADHBA_Terminology_2016_All,DHBA:11280
stratum oriens of caudal CA1,CA1Cso,stratum oriens of caudal CA1,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11284,1640,ADHBA_Terminology_2016_All,DHBA:11280
CA2 region of Hipp,CA2,CA2 region of Hipp,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10298,1641,ADHBA_Terminology_2016_All,DHBA:10296
uncal CA2,CA2U,uncal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441311,1642,ADHBA_Terminology_2016_All,DHBA:10298
stratum lacunosum-moleculare of uncal CA2,CA2Uslm,stratum lacunosum-moleculare of uncal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441315,1643,ADHBA_Terminology_2016_All,DHBA:266441311
stratum moleculare of uncal CA2,CA2Usmo,stratum moleculare of uncal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441319,1644,ADHBA_Terminology_2016_All,DHBA:266441315
stratum lacunosum of uncal CA2,CA2Usla,stratum lacunosum of uncal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441323,1645,ADHBA_Terminology_2016_All,DHBA:266441315
stratum radiatum of uncal CA2,CA2Usr,stratum radiatum of uncal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441327,1646,ADHBA_Terminology_2016_All,DHBA:266441311
stratum pyramidale of uncal CA2,CA2Usp,stratum pyramidale of uncal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441331,1647,ADHBA_Terminology_2016_All,DHBA:266441311
stratum oriens of uncal CA2,CA2Uso,stratum oriens of uncal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441335,1648,ADHBA_Terminology_2016_All,DHBA:266441311
rostral CA2,CA2R,rostral CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11285,1649,ADHBA_Terminology_2016_All,DHBA:10298
stratum lacunosum-moleculare of rostral CA2,CA2Rslm,stratum lacunosum-moleculare of rostral CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11286,1650,ADHBA_Terminology_2016_All,DHBA:11285
stratum moleculare of rostral CA2,CA2Rsmo,stratum moleculare of rostral CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441339,1651,ADHBA_Terminology_2016_All,DHBA:11286
stratum lacunosum of rostral CA2,CA2Rsla,stratum lacunosum of rostral CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441343,1652,ADHBA_Terminology_2016_All,DHBA:11286
stratum radiatum of rostral CA2,CA2Rsr,stratum radiatum of rostral CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11287,1653,ADHBA_Terminology_2016_All,DHBA:11285
stratum pyramidale of rostral CA2,CA2Rsp,stratum pyramidale of rostral CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11288,1654,ADHBA_Terminology_2016_All,DHBA:11285
stratum oriens of rostral CA2,CA2Rso,stratum oriens of rostral CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11289,1655,ADHBA_Terminology_2016_All,DHBA:11285
caudal CA2,CA2C,caudal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11290,1656,ADHBA_Terminology_2016_All,DHBA:10298
stratum lacunosum-moleculare of caudal CA2,CA2Cslm,stratum lacunosum-moleculare of caudal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11291,1657,ADHBA_Terminology_2016_All,DHBA:11290
stratum moleculare of caudal CA2,CA2Csmo,stratum moleculare of caudal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441347,1658,ADHBA_Terminology_2016_All,DHBA:11291
stratum lacunosum of caudal CA2,CA2Csla,stratum lacunosum of caudal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441351,1659,ADHBA_Terminology_2016_All,DHBA:11291
stratum radiatum of caudal CA2,CA2Csr,stratum radiatum of caudal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11292,1660,ADHBA_Terminology_2016_All,DHBA:11290
stratum pyramidale of caudal CA2,CA2Csp,stratum pyramidale of caudal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11293,1661,ADHBA_Terminology_2016_All,DHBA:11290
stratum oriens of caudal CA2,CA2Cso,stratum oriens of caudal CA2,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11294,1662,ADHBA_Terminology_2016_All,DHBA:11290
CA3 region of Hipp,CA3,CA3 region of Hipp,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10299,1663,ADHBA_Terminology_2016_All,DHBA:10296
uncal CA3,CA3U,uncal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441355,1664,ADHBA_Terminology_2016_All,DHBA:10299
stratum lacunosum-moleculare of uncal CA3,CA3Uslm,stratum lacunosum-moleculare of uncal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441359,1665,ADHBA_Terminology_2016_All,DHBA:266441355
stratum moleculare of uncal CA3,CA3Usmo,stratum moleculare of uncal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441363,1666,ADHBA_Terminology_2016_All,DHBA:266441359
stratum lacunosum of uncal CA3,CA3Usla,stratum lacunosum of uncal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441367,1667,ADHBA_Terminology_2016_All,DHBA:266441359
stratum radiatum of uncal CA3,CA3Usr,stratum radiatum of uncal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441371,1668,ADHBA_Terminology_2016_All,DHBA:266441355
stratum lucidum  of uncal CA3,CA3Usl,stratum lucidum  of uncal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441375,1669,ADHBA_Terminology_2016_All,DHBA:266441355
stratum pyramidale of uncal CA3,CA3Usp,stratum pyramidale of uncal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441379,1670,ADHBA_Terminology_2016_All,DHBA:266441355
stratum oriens of uncal CA3,CA3Uso,stratum oriens of uncal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441383,1671,ADHBA_Terminology_2016_All,DHBA:266441355
rostral CA3,CA3R,rostral CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11295,1672,ADHBA_Terminology_2016_All,DHBA:10299
stratum lacunosum-moleculare of rostral CA3,CA3Rslm,stratum lacunosum-moleculare of rostral CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11296,1673,ADHBA_Terminology_2016_All,DHBA:11295
stratum moleculare of rostral CA3,CA3Rsmo,stratum moleculare of rostral CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441387,1674,ADHBA_Terminology_2016_All,DHBA:11296
stratum lacunosum of rostral CA3,CA3Rsla,stratum lacunosum of rostral CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441391,1675,ADHBA_Terminology_2016_All,DHBA:11296
stratum radiatum of rostral CA3,CA3Rsr,stratum radiatum of rostral CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11297,1676,ADHBA_Terminology_2016_All,DHBA:11295
stratum lucidum  of rostral CA3,CA3Rsl,stratum lucidum  of rostral CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11298,1677,ADHBA_Terminology_2016_All,DHBA:11295
stratum pyramidale of rostral CA3,CA3Rsp,stratum pyramidale of rostral CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11299,1678,ADHBA_Terminology_2016_All,DHBA:11295
stratum oriens of rostral CA3,CA3Rso,stratum oriens of rostral CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11300,1679,ADHBA_Terminology_2016_All,DHBA:11295
caudal CA3,CA3C,caudal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11301,1680,ADHBA_Terminology_2016_All,DHBA:10299
stratum lacunosum-moleculare of caudal CA3,CA3Cslm,stratum lacunosum-moleculare of caudal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11302,1681,ADHBA_Terminology_2016_All,DHBA:11301
stratum moleculare of caudal CA3,CA3Csmo,stratum moleculare of caudal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441395,1682,ADHBA_Terminology_2016_All,DHBA:11302
stratum lacunosum of caudal CA3,CA3Csla,stratum lacunosum of caudal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441399,1683,ADHBA_Terminology_2016_All,DHBA:11302
stratum radiatum of caudal CA3,CA3Csr,stratum radiatum of caudal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11303,1684,ADHBA_Terminology_2016_All,DHBA:11301
stratum lucidum  of caudal CA3,CA3Csl,stratum lucidum  of caudal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11304,1685,ADHBA_Terminology_2016_All,DHBA:11301
stratum pyramidale of caudal CA3,CA3Csp,stratum pyramidale of caudal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11305,1686,ADHBA_Terminology_2016_All,DHBA:11301
stratum oriens of caudal CA3,CA3Cso,stratum oriens of caudal CA3,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11306,1687,ADHBA_Terminology_2016_All,DHBA:11301
CA4 region of Hipp,CA4,CA4 region of Hipp,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10300,1688,ADHBA_Terminology_2016_All,DHBA:10296
pyramidal cells of uncal CA4,CA4Upy,pyramidal cells of uncal CA4,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441403,1689,ADHBA_Terminology_2016_All,DHBA:10300
pyramidal cells of rostral CA4,CA4Rpy,pyramidal cells of rostral CA4,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11307,1690,ADHBA_Terminology_2016_All,DHBA:10300
pyramidal cells of caudal CA4,CA4Cpy,pyramidal cells of caudal CA4,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11308,1691,ADHBA_Terminology_2016_All,DHBA:10300
subicular cortex,Sub,subicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10301,1692,ADHBA_Terminology_2016_All,DHBA:10294
subiculum,S,subiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10302,1693,ADHBA_Terminology_2016_All,DHBA:10301
uncal subiculum,S-U,uncal subiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441407,1694,ADHBA_Terminology_2016_All,DHBA:10302
molecular layer of uncal subiculum,SUmo,molecular layer of uncal subiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441411,1695,ADHBA_Terminology_2016_All,DHBA:266441407
pyramidal layer of uncal subiculum,SUpy,pyramidal layer of uncal subiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441415,1696,ADHBA_Terminology_2016_All,DHBA:266441407
polymorphic layer of uncal subiculum,SUpm,polymorphic layer of uncal subiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:266441419,1697,ADHBA_Terminology_2016_All,DHBA:266441407
rostral subiculum,S-R,rostral subiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11309,1698,ADHBA_Terminology_2016_All,DHBA:10302
molecular layer of rostral subiculum,SRmo,molecular layer of rostral subiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11310,1699,ADHBA_Terminology_2016_All,DHBA:11309
pyramidal layer of rostral subiculum,SRpy,pyramidal layer of rostral subiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11311,1700,ADHBA_Terminology_2016_All,DHBA:11309
polymorphic layer of rostral subiculum,SRpf,polymorphic layer of rostral subiculum,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11312,1701,ADHBA_Terminology_2016_All,DHBA:11309
